/home/alonkay/conda/alon/lib/python3.9/site-packages/transformers/utils/generic.py:260: FutureWarning: `torch.utils._pytree._register_pytree_node` is deprecated. Please use `torch.utils._pytree.register_pytree_node` instead.
  torch.utils._pytree._register_pytree_node(
/home/alonkay/conda/alon/lib/python3.9/site-packages/huggingface_hub/file_download.py:1150: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
/home/alonkay/conda/alon/lib/python3.9/site-packages/transformers/modeling_utils.py:479: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  return torch.load(checkpoint_file, map_location=map_location)
/home/alonkay/Thesis/FMatrixRegressor.py:317: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(model_path, map_location='cpu')
/home/alonkay/Thesis/FMatrixRegressor.py:98: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(self.trained_vit, map_location='cpu')
Model plots/Stereo/Winners/SED_0.5__L2_1__huber_1__lr_0.0001__conv__CLIP__use_reconstruction_True/Trained_vit/BS_8__ratio_0.0375__head__frozen_0 already trained

plots/Stereo/Winners/SED_0.5__L2_1__huber_1__lr_0.0001__conv__CLIP__use_reconstruction_True/Trained_vit/BS_8__ratio_0.0375__head__frozen_4
Already trained and got bad results
###########################################################################################################################################################

                         learning rate: 0.0001, lr_decay: 0.8, mlp_hidden_sizes: [1024, 512], jump_frames: 2, use_reconstruction_layer: True
                        batch_size: 8, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], dataset: Stereo,
                        average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, deepF_nocorrs: False, part: head, get_old_path: False,
                        SVD coeff: 0, RE1 coeff: 0 SED coeff: 0.5, ALG_COEFF: 0, L2_coeff: 1, huber_coeff: 1, frozen layers: 8, trained vit: plots/Affine/BS_32__lr_6e-05__train_size_9216__CLIP__alpha_10__conv__original_rotated/model.pth,
                        crop: 224 resize: 256, use conv: False pretrained: None, data_ratio: 0.0375, norm_mean: tensor([0.4815, 0.4578, 0.4082], device='cuda:0'), norm_std: tensor([0.2686, 0.2613, 0.2758], device='cuda:0'), sched: None seed: 42, 


algebraic_truth: 0.016933291566138174		 val_algebraic_truth: 0.017301117672639733
RE1_truth: 0.00019233679289326947		 val_RE1_truth: 0.000201928593656596
SED_truth: 0.0015386982875711778		 val_SED_truth: 0.0016154211891048094


Epoch 1/9000: 	Training Loss: 2902.454044117647		 Val Loss: 360.72374770220586
             	Training MAE: 0.24539659917354584		 Val MAE: 0.21919240057468414
             	Algebraic dist: 242.24258961397058		 Val Algebraic dist: 151.59291704963235
             	RE1 dist: 897661.0980392157		 Val RE1 dist: 45649.69852941176
             	SED dist: 5804.442401960784		 Val SED dist: 721.0843290441177


Epoch 2/9000: 	Training Loss: 72.26426068474265		 Val Loss: 29.01282994887408
             	Training MAE: 0.26647746562957764		 Val MAE: 0.31314554810523987
             	Algebraic dist: 62.42934761795343		 Val Algebraic dist: 74.19081025965073
             	RE1 dist: 7003.419730392156		 Val RE1 dist: 6449.017463235294
             	SED dist: 144.0017329197304		 Val SED dist: 57.286326688878674


Epoch 3/9000: 	Training Loss: 26.052188648897058		 Val Loss: 22.336379107306986
             	Training MAE: 0.3202652931213379		 Val MAE: 0.33482080698013306
             	Algebraic dist: 55.12209903492647		 Val Algebraic dist: 75.74760167738971
             	RE1 dist: 4609.276041666667		 Val RE1 dist: 6452.049172794118
             	SED dist: 51.33340513939951		 Val SED dist: 43.81712072035845


Epoch 4/9000: 	Training Loss: 10.923670151654411		 Val Loss: 9.452382704790901
             	Training MAE: 0.32092106342315674		 Val MAE: 0.31135544180870056
             	Algebraic dist: 57.605459175857845		 Val Algebraic dist: 91.0270134420956
             	RE1 dist: 4564.37806372549		 Val RE1 dist: 9658.586397058823
             	SED dist: 21.108597100949755		 Val SED dist: 18.250324922449447


Epoch 5/9000: 	Training Loss: 6.756751565372243		 Val Loss: 9.783653708065257
             	Training MAE: 0.3103724718093872		 Val MAE: 0.2834695279598236
             	Algebraic dist: 62.297875497855394		 Val Algebraic dist: 77.99608656939338
             	RE1 dist: 5419.277573529412		 Val RE1 dist: 7865.583639705882
             	SED dist: 12.855094161688113		 Val SED dist: 19.011386646943933


Epoch 6/9000: 	Training Loss: 8.76141477098652		 Val Loss: 10.137106502757353
             	Training MAE: 0.29424145817756653		 Val MAE: 0.2643345594406128
             	Algebraic dist: 66.74227845435048		 Val Algebraic dist: 67.85485121783088
             	RE1 dist: 4973.284926470588		 Val RE1 dist: 6038.9140625
             	SED dist: 16.941791609221813		 Val SED dist: 19.791363884420957


Epoch 7/9000: 	Training Loss: 4.05380817488128		 Val Loss: 5.072751213522518
             	Training MAE: 0.28940650820732117		 Val MAE: 0.26381683349609375
             	Algebraic dist: 48.06505150888481		 Val Algebraic dist: 43.27833826401655
             	RE1 dist: 3207.265318627451		 Val RE1 dist: 1890.1623391544117
             	SED dist: 7.564952177159927		 Val SED dist: 9.667895148782168


Epoch 8/9000: 	Training Loss: 3.9975633808210786		 Val Loss: 5.264596826889935
             	Training MAE: 0.29443708062171936		 Val MAE: 0.2790665328502655
             	Algebraic dist: 52.120380476409316		 Val Algebraic dist: 50.98540900735294
             	RE1 dist: 3404.594056372549		 Val RE1 dist: 2985.7787224264707
             	SED dist: 7.44139129040288		 Val SED dist: 10.016116871553308


Epoch 9/9000: 	Training Loss: 5.0282143985523895		 Val Loss: 6.236766142003677
             	Training MAE: 0.29337072372436523		 Val MAE: 0.26804932951927185
             	Algebraic dist: 57.13085458792892		 Val Algebraic dist: 56.194863712086395
             	RE1 dist: 3741.625306372549		 Val RE1 dist: 3301.1332720588234
             	SED dist: 9.501854391659007		 Val SED dist: 11.998227287741269


Epoch 10/9000: 	Training Loss: 3.1210321164598653		 Val Loss: 6.24209280575023
             	Training MAE: 0.2899947762489319		 Val MAE: 0.2873198688030243
             	Algebraic dist: 44.99728573069853		 Val Algebraic dist: 48.800792020909924
             	RE1 dist: 2757.891237745098		 Val RE1 dist: 2481.9885110294117
             	SED dist: 5.713581758386948		 Val SED dist: 11.932107364430147


Epoch 11/9000: 	Training Loss: 3.546566832299326		 Val Loss: 6.900368634392233
             	Training MAE: 0.2959579825401306		 Val MAE: 0.289311945438385
             	Algebraic dist: 51.85532992493872		 Val Algebraic dist: 52.77899528952206
             	RE1 dist: 3495.5300245098038		 Val RE1 dist: 3192.067325367647
